code,name,theme
5803,フジクラ,電線・データセンター向け光関連
5801,古河電気工業,電線・光関連
2737,トーメンデバイス,半導体商社
5726,大阪チタニウムテクノロジーズ,チタン・レアメタル
1514,住石ホールディングス,石炭・鉱業
6920,レーザーテック,半導体検査装置
285A,キオクシアホールディングス,半導体メモリ
5706,三井金属鉱業,非鉄金属・銅箔
3350,メタプラネット,ビットコイン保有戦略
4676,フジ・メディア・ホールディングス,放送・メディア
3765,ガンホー・オンライン・エンターテイメント,スマホゲーム
2121,MIXI,SNS・スマホゲーム
7735,SCREENホールディングス,半導体製造装置
6814,古野電気,船舶用電子機器・魚群探知機
6016,ジャパンエンジンコーポレーション,舶用ディーゼルエンジン
4587,ペプチドリーム,ペプチド創薬プラットフォーム
3633,GMOペパボ,レンタルサーバー・ハンドメイドEC
7779,CYBERDYNE,装着型サイボーグ(ロボットスーツ)
6178,日本郵政,郵便・金融持株会社
3031,ラクーンホールディングス,BtoB卸売プラットフォーム
3064,MonotaRO,工具・間接資材通販
7974,任天堂,ゲーム機・ソフト
6176,ブランジスタ,広告・メディア(値動きの荒い小型株)
4592,サンバイオ,再生医療(細胞薬)
2432,ディー・エヌ・エー,モバイルゲーム・エンタメ
7575,日本ライフライン,医療機器(循環器)
6506,安川電機,サーボモーター・産業用ロボット
6146,ディスコ,半導体ダイシング・研削装置
8035,東京エレクトロン,半導体製造装置
2127,日本M&Aセンターホールディングス,M&A仲介
3697,SHIFT,ソフトウェアテスト
6758,ソニーグループ,エレクトロニクス・エンタメ
6861,キーエンス,センサー・FA機器
4385,メルカリ,フリマアプリ
3092,ZOZO,ファッションEC
9984,ソフトバンクグループ,投資持株会社
7564,ワークマン,作業服・アウトドア衣料
9449,GMOインターネットグループ,インターネットインフラ
4477,BASE,ネットショップ作成
4443,Sansan,名刺管理・営業DXクラウド
4488,AI inside,AI-OCR
4478,freee,クラウド会計・人事労務
4448,Chatwork,ビジネスチャット
4475,HENNGE,クラウドセキュリティ
4483,JMDC,医療健康データ
4165,プレイド,顧客行動分析(CX)
4051,GMOフィナンシャルゲート,決済端末
9101,日本郵船,海運
9104,商船三井,海運
9107,川崎汽船,海運
1605,INPEX,石油・天然ガス開発
5020,ENEOSホールディングス,石油元売り
5032,ANYCOLOR,VTuber事務所(にじさんじ)
5253,カバー,VTuber事務所(ホロライブ)
4373,シンプレクスホールディングス,金融システム開発
6098,リクルートホールディングス,人材・販促サービス
1518,三井松島ホールディングス,石炭・エネルギー
5401,日本製鉄,鉄鋼
6857,アドバンテスト,半導体テスタ
6315,TOWA,半導体後工程(モールディング)装置
6590,芝浦メカトロニクス,半導体・FPD製造装置
6526,ソシオネクスト,半導体SoC設計
9166,GENDA,アミューズメント施設運営
9552,M&A総研ホールディングス,M&A仲介
5838,楽天銀行,ネット銀行
5805,SWCC,電線・ケーブル
6976,太陽誘電,電子部品(積層セラミックコンデンサ等)
